item_name,category,menu_price,ingredient_cost,units_sold,month,year,prep_time_minutes,allergens,dietary_tags,day_of_week_avg,time_of_day_peak,weather_impact,promo_active,supplier,customer_rating,returns_complaints,food_cost_pct,margin,cost_warning,slow_prep_flag,low_rating_flag,complaints_flag
Bacon Cheeseburger,Entree,14.99,4.2,360.00,February,2025,15,"Dairy,Gluten,Soy",None,Friday,Dinner,Negative,No,Sysco,4.5,0,28%,10.79,OK,OK,OK,OK
Bacon Cheeseburger,Entree,14.99,4.2,395.00,March,2025,15,"Dairy,Gluten,Soy",None,Saturday,Dinner,Neutral,No,Sysco,4.6,1,28%,10.79,OK,OK,OK,OK
Bacon Cheeseburger,Entree,14.99,4.2,410.00,April,2025,15,"Dairy,Gluten,Soy",None,Saturday,Dinner,Positive,No,Sysco,4.6,0,28%,10.79,OK,OK,OK,OK
Bacon Cheeseburger,Entree,14.99,4.2,430.00,May,2025,15,"Dairy,Gluten,Soy",None,Saturday,Dinner,Positive,Yes,Sysco,4.7,1,28%,10.79,OK,OK,OK,OK
Bacon Cheeseburger,Entree,14.99,4.2,460.00,June,2025,15,"Dairy,Gluten,Soy",None,Friday,Dinner,Positive,No,Sysco,4.7,0,28%,10.79,OK,OK,OK,OK
Bacon Cheeseburger,Entree,14.99,4.2,485.00,July,2025,15,"Dairy,Gluten,Soy",None,Saturday,Dinner,Positive,Yes,Sysco,4.8,0,28%,10.79,OK,OK,OK,OK
Bacon Cheeseburger,Entree,14.99,4.2,470.00,August,2025,15,"Dairy,Gluten,Soy",None,Saturday,Dinner,Positive,No,Sysco,4.7,1,28%,10.79,OK,OK,OK,OK
Bacon Cheeseburger,Entree,14.99,4.2,420.00,September,2025,15,"Dairy,Gluten,Soy",None,Friday,Dinner,Neutral,No,Sysco,4.6,0,28%,10.79,OK,OK,OK,OK
Bacon Cheeseburger,Entree,14.99,4.2,400.00,October,2025,15,"Dairy,Gluten,Soy",None,Saturday,Dinner,Neutral,No,Sysco,4.6,1,28%,10.79,OK,OK,OK,OK
Bacon Cheeseburger,Entree,14.99,4.2,385.00,November,2025,15,"Dairy,Gluten,Soy",None,Friday,Dinner,Negative,No,Sysco,4.5,2,28%,10.79,OK,OK,OK,OK
Bacon Cheeseburger,Entree,14.99,4.2,440.00,December,2025,15,"Dairy,Gluten,Soy",None,Saturday,Dinner,Negative,Yes,Sysco,4.6,0,28%,10.79,OK,OK,OK,OK
Veggie Burger,Entree,11.99,3.8,125.00,January,2025,12,"Gluten,Soy",Vegetarian,Wednesday,Lunch,Neutral,No,Local Farm Co-op,4,3,32%,8.19,OK,OK,OK,High complaints
Veggie Burger,Entree,11.99,3.8,130.00,February,2025,12,"Gluten,Soy",Vegetarian,Wednesday,Lunch,Negative,No,Local Farm Co-op,4,2,32%,8.19,OK,OK,OK,OK
Veggie Burger,Entree,11.99,3.8,145.00,March,2025,12,"Gluten,Soy",Vegetarian,Thursday,Lunch,Neutral,Yes,Local Farm Co-op,4.1,1,32%,8.19,OK,OK,OK,OK
Veggie Burger,Entree,11.99,3.8,160.00,April,2025,12,"Gluten,Soy",Vegetarian,Wednesday,Lunch,Positive,No,Local Farm Co-op,4.2,2,32%,8.19,OK,OK,OK,OK
Veggie Burger,Entree,11.99,3.8,175.00,May,2025,12,"Gluten,Soy",Vegetarian,Thursday,Lunch,Positive,Yes,Local Farm Co-op,4.2,1,32%,8.19,OK,OK,OK,OK
Veggie Burger,Entree,11.99,3.8,190.00,June,2025,12,"Gluten,Soy",Vegetarian,Wednesday,Lunch,Positive,No,Local Farm Co-op,4.3,0,32%,8.19,OK,OK,OK,OK
Veggie Burger,Entree,11.99,3.8,205.00,July,2025,12,"Gluten,Soy",Vegetarian,Thursday,Lunch,Positive,Yes,Local Farm Co-op,4.4,1,32%,8.19,OK,OK,OK,OK
Veggie Burger,Entree,11.99,3.8,195.00,August,2025,12,"Gluten,Soy",Vegetarian,Wednesday,Lunch,Positive,No,Local Farm Co-op,4.3,0,32%,8.19,OK,OK,OK,OK
Veggie Burger,Entree,11.99,3.8,170.00,September,2025,12,"Gluten,Soy",Vegetarian,Thursday,Lunch,Neutral,No,Local Farm Co-op,4.2,2,32%,8.19,OK,OK,OK,OK
Veggie Burger,Entree,11.99,3.8,155.00,October,2025,12,"Gluten,Soy",Vegetarian,Wednesday,Lunch,Neutral,No,Local Farm Co-op,4.1,1,32%,8.19,OK,OK,OK,OK
Veggie Burger,Entree,11.99,3.8,140.00,November,2025,12,"Gluten,Soy",Vegetarian,Wednesday,Lunch,Negative,Yes,Local Farm Co-op,4,3,32%,8.19,OK,OK,OK,High complaints
Veggie Burger,Entree,11.99,3.8,165.00,December,2025,12,"Gluten,Soy",Vegetarian,Thursday,Lunch,Negative,No,Local Farm Co-op,4.1,2,32%,8.19,OK,OK,OK,OK
Grilled Chicken Sandwich,Entree,13.99,3.9,340.00,January,2025,18,"Gluten,Dairy",None,Thursday,Lunch,Neutral,No,Sysco,4.4,1,28%,10.09,OK,OK,OK,OK
Grilled Chicken Sandwich,Entree,13.99,3.9,320.00,February,2025,18,"Gluten,Dairy",None,Thursday,Lunch,Negative,No,Sysco,4.4,2,28%,10.09,OK,OK,OK,OK
Grilled Chicken Sandwich,Entree,13.99,3.9,355.00,March,2025,18,"Gluten,Dairy",None,Friday,Lunch,Neutral,No,Sysco,4.5,0,28%,10.09,OK,OK,OK,OK
Grilled Chicken Sandwich,Entree,13.99,3.9,370.00,April,2025,18,"Gluten,Dairy",None,Thursday,Lunch,Positive,Yes,Sysco,4.5,1,28%,10.09,OK,OK,OK,OK
Grilled Chicken Sandwich,Entree,13.99,3.9,390.00,May,2025,18,"Gluten,Dairy",None,Friday,Lunch,Positive,No,Sysco,4.6,0,28%,10.09,OK,OK,OK,OK
Grilled Chicken Sandwich,Entree,13.99,3.9,410.00,June,2025,18,"Gluten,Dairy",None,Thursday,Lunch,Positive,No,Sysco,4.6,1,28%,10.09,OK,OK,OK,OK
Grilled Chicken Sandwich,Entree,13.99,3.9,425.00,July,2025,18,"Gluten,Dairy",None,Friday,Lunch,Positive,Yes,Sysco,4.7,0,28%,10.09,OK,OK,OK,OK
Grilled Chicken Sandwich,Entree,13.99,3.9,415.00,August,2025,18,"Gluten,Dairy",None,Thursday,Lunch,Positive,No,Sysco,4.6,1,28%,10.09,OK,OK,OK,OK
Grilled Chicken Sandwich,Entree,13.99,3.9,380.00,September,2025,18,"Gluten,Dairy",None,Friday,Lunch,Neutral,No,Sysco,4.5,1,28%,10.09,OK,OK,OK,OK
Grilled Chicken Sandwich,Entree,13.99,3.9,365.00,October,2025,18,"Gluten,Dairy",None,Thursday,Lunch,Neutral,Yes,Sysco,4.5,0,28%,10.09,OK,OK,OK,OK
Grilled Chicken Sandwich,Entree,13.99,3.9,345.00,November,2025,18,"Gluten,Dairy",None,Thursday,Lunch,Negative,No,Sysco,4.4,2,28%,10.09,OK,OK,OK,OK
Grilled Chicken Sandwich,Entree,13.99,3.9,385.00,December,2025,18,"Gluten,Dairy",None,Friday,Lunch,Negative,No,Sysco,4.5,1,28%,10.09,OK,OK,OK,OK
BBQ Pulled Pork Sandwich,Entree,13.49,4.1,290.00,January,2025,20,Gluten,None,Saturday,Dinner,Neutral,No,Local Butcher,4.2,2,30%,9.39,OK,Slow prep,OK,OK
BBQ Pulled Pork Sandwich,Entree,13.49,4.1,275.00,February,2025,20,Gluten,None,Saturday,Dinner,Negative,No,Local Butcher,4.2,1,30%,9.39,OK,Slow prep,OK,OK
BBQ Pulled Pork Sandwich,Entree,13.49,4.1,305.00,March,2025,20,Gluten,None,Friday,Dinner,Neutral,No,Local Butcher,4.3,2,30%,9.39,OK,Slow prep,OK,OK
BBQ Pulled Pork Sandwich,Entree,13.49,4.1,320.00,April,2025,20,Gluten,None,Saturday,Dinner,Positive,Yes,Local Butcher,4.3,1,30%,9.39,OK,Slow prep,OK,OK
BBQ Pulled Pork Sandwich,Entree,13.49,4.1,340.00,May,2025,20,Gluten,None,Saturday,Dinner,Positive,No,Local Butcher,4.4,0,30%,9.39,OK,Slow prep,OK,OK
BBQ Pulled Pork Sandwich,Entree,13.49,4.1,360.00,June,2025,20,Gluten,None,Friday,Dinner,Positive,Yes,Local Butcher,4.4,1,30%,9.39,OK,Slow prep,OK,OK
BBQ Pulled Pork Sandwich,Entree,13.49,4.1,380.00,July,2025,20,Gluten,None,Saturday,Dinner,Positive,No,Local Butcher,4.5,0,30%,9.39,OK,Slow prep,OK,OK
BBQ Pulled Pork Sandwich,Entree,13.49,4.1,370.00,August,2025,20,Gluten,None,Saturday,Dinner,Positive,Yes,Local Butcher,4.5,1,30%,9.39,OK,Slow prep,OK,OK
BBQ Pulled Pork Sandwich,Entree,13.49,4.1,330.00,September,2025,20,Gluten,None,Friday,Dinner,Neutral,No,Local Butcher,4.3,1,30%,9.39,OK,Slow prep,OK,OK
BBQ Pulled Pork Sandwich,Entree,13.49,4.1,315.00,October,2025,20,Gluten,None,Saturday,Dinner,Neutral,No,Local Butcher,4.3,2,30%,9.39,OK,Slow prep,OK,OK
BBQ Pulled Pork Sandwich,Entree,13.49,4.1,295.00,November,2025,20,Gluten,None,Friday,Dinner,Negative,Yes,Local Butcher,4.2,2,30%,9.39,OK,Slow prep,OK,OK
BBQ Pulled Pork Sandwich,Entree,13.49,4.1,335.00,December,2025,20,Gluten,None,Saturday,Dinner,Negative,No,Local Butcher,4.4,1,30%,9.39,OK,Slow prep,OK,OK
Fish and Chips,Entree,15.99,5.2,220.00,January,2025,22,"Fish,Gluten",None,Friday,Dinner,Neutral,No,Ocean Fresh Seafood,4.1,3,33%,10.79,OK,Slow prep,OK,High complaints
Fish and Chips,Entree,15.99,5.2,205.00,February,2025,22,"Fish,Gluten",None,Friday,Dinner,Negative,No,Ocean Fresh Seafood,4.1,2,33%,10.79,OK,Slow prep,OK,OK
Fish and Chips,Entree,15.99,5.2,230.00,March,2025,22,"Fish,Gluten",None,Friday,Dinner,Neutral,Yes,Ocean Fresh Seafood,4.2,1,33%,10.79,OK,Slow prep,OK,OK
Fish and Chips,Entree,15.99,5.2,245.00,April,2025,22,"Fish,Gluten",None,Friday,Dinner,Positive,No,Ocean Fresh Seafood,4.2,2,33%,10.79,OK,Slow prep,OK,OK
Fish and Chips,Entree,15.99,5.2,260.00,May,2025,22,"Fish,Gluten",None,Friday,Dinner,Positive,No,Ocean Fresh Seafood,4.3,1,33%,10.79,OK,Slow prep,OK,OK
Fish and Chips,Entree,15.99,5.2,275.00,June,2025,22,"Fish,Gluten",None,Friday,Dinner,Positive,Yes,Ocean Fresh Seafood,4.3,0,33%,10.79,OK,Slow prep,OK,OK
Fish and Chips,Entree,15.99,5.2,290.00,July,2025,22,"Fish,Gluten",None,Friday,Dinner,Positive,No,Ocean Fresh Seafood,4.4,1,33%,10.79,OK,Slow prep,OK,OK
Fish and Chips,Entree,15.99,5.2,280.00,August,2025,22,"Fish,Gluten",None,Friday,Dinner,Positive,No,Ocean Fresh Seafood,4.3,1,33%,10.79,OK,Slow prep,OK,OK
Fish and Chips,Entree,15.99,5.2,250.00,September,2025,22,"Fish,Gluten",None,Friday,Dinner,Neutral,Yes,Ocean Fresh Seafood,4.2,2,33%,10.79,OK,Slow prep,OK,OK
Fish and Chips,Entree,15.99,5.2,235.00,October,2025,22,"Fish,Gluten",None,Friday,Dinner,Neutral,No,Ocean Fresh Seafood,4.2,1,33%,10.79,OK,Slow prep,OK,OK
Fish and Chips,Entree,15.99,5.2,215.00,November,2025,22,"Fish,Gluten",None,Friday,Dinner,Negative,No,Ocean Fresh Seafood,4.1,3,33%,10.79,OK,Slow prep,OK,High complaints
Fish and Chips,Entree,15.99,5.2,255.00,December,2025,22,"Fish,Gluten",None,Friday,Dinner,Negative,Yes,Ocean Fresh Seafood,4.2,2,33%,10.79,OK,Slow prep,OK,OK
Lobster Ravioli,Entree,24.99,9.5,45.00,January,2025,25,"Shellfish,Dairy,Gluten,Eggs",None,Saturday,Dinner,Neutral,No,Premium Pasta Co,3.8,5,38%,15.49,Over 35%,Slow prep,Low rating,High complaints
Lobster Ravioli,Entree,24.99,9.5,42.00,February,2025,25,"Shellfish,Dairy,Gluten,Eggs",None,Saturday,Dinner,Negative,Yes,Premium Pasta Co,3.8,4,38%,15.49,Over 35%,Slow prep,Low rating,High complaints
Lobster Ravioli,Entree,24.99,9.5,48.00,March,2025,25,"Shellfish,Dairy,Gluten,Eggs",None,Saturday,Dinner,Neutral,No,Premium Pasta Co,3.9,3,38%,15.49,Over 35%,Slow prep,Low rating,High complaints
Lobster Ravioli,Entree,24.99,9.5,50.00,April,2025,25,"Shellfish,Dairy,Gluten,Eggs",None,Saturday,Dinner,Positive,No,Premium Pasta Co,3.9,4,38%,15.49,Over 35%,Slow prep,Low rating,High complaints
Lobster Ravioli,Entree,24.99,9.5,52.00,May,2025,25,"Shellfish,Dairy,Gluten,Eggs",None,Saturday,Dinner,Positive,Yes,Premium Pasta Co,4,2,38%,15.49,Over 35%,Slow prep,OK,OK
Lobster Ravioli,Entree,24.99,9.5,55.00,June,2025,25,"Shellfish,Dairy,Gluten,Eggs",None,Saturday,Dinner,Positive,No,Premium Pasta Co,4,3,38%,15.49,Over 35%,Slow prep,OK,High complaints
Lobster Ravioli,Entree,24.99,9.5,58.00,July,2025,25,"Shellfish,Dairy,Gluten,Eggs",None,Saturday,Dinner,Positive,No,Premium Pasta Co,4.1,2,38%,15.49,Over 35%,Slow prep,OK,OK
Lobster Ravioli,Entree,24.99,9.5,56.00,August,2025,25,"Shellfish,Dairy,Gluten,Eggs",None,Saturday,Dinner,Positive,Yes,Premium Pasta Co,4,3,38%,15.49,Over 35%,Slow prep,OK,High complaints
Lobster Ravioli,Entree,24.99,9.5,49.00,September,2025,25,"Shellfish,Dairy,Gluten,Eggs",None,Saturday,Dinner,Neutral,No,Premium Pasta Co,3.9,4,38%,15.49,Over 35%,Slow prep,Low rating,High complaints
Lobster Ravioli,Entree,24.99,9.5,47.00,October,2025,25,"Shellfish,Dairy,Gluten,Eggs",None,Saturday,Dinner,Neutral,No,Premium Pasta Co,3.9,3,38%,15.49,Over 35%,Slow prep,Low rating,High complaints
Lobster Ravioli,Entree,24.99,9.5,44.00,November,2025,25,"Shellfish,Dairy,Gluten,Eggs",None,Saturday,Dinner,Negative,Yes,Premium Pasta Co,3.8,5,38%,15.49,Over 35%,Slow prep,Low rating,High complaints
Lobster Ravioli,Entree,24.99,9.5,51.00,December,2025,25,"Shellfish,Dairy,Gluten,Eggs",None,Saturday,Dinner,Negative,No,Premium Pasta Co,3.9,4,38%,15.49,Over 35%,Slow prep,Low rating,High complaints
Margherita Pizza,Entree,14.99,4.2,380.00,January,2025,18,"Gluten,Dairy",Vegetarian,Friday,Dinner,Neutral,No,Local Cheese Shop,4.6,1,28%,10.79,OK,OK,OK,OK
Margherita Pizza,Entree,14.99,4.2,365.00,February,2025,18,"Gluten,Dairy",Vegetarian,Friday,Dinner,Negative,No,Local Cheese Shop,4.6,2,28%,10.79,OK,OK,OK,OK
Margherita Pizza,Entree,14.99,4.2,395.00,March,2025,18,"Gluten,Dairy",Vegetarian,Saturday,Dinner,Neutral,Yes,Local Cheese Shop,4.7,0,28%,10.79,OK,OK,OK,OK
Margherita Pizza,Entree,14.99,4.2,410.00,April,2025,18,"Gluten,Dairy",Vegetarian,Friday,Dinner,Positive,No,Local Cheese Shop,4.7,1,28%,10.79,OK,OK,OK,OK
Margherita Pizza,Entree,14.99,4.2,430.00,May,2025,18,"Gluten,Dairy",Vegetarian,Saturday,Dinner,Positive,No,Local Cheese Shop,4.8,0,28%,10.79,OK,OK,OK,OK
Margherita Pizza,Entree,14.99,4.2,450.00,June,2025,18,"Gluten,Dairy",Vegetarian,Friday,Dinner,Positive,Yes,Local Cheese Shop,4.8,1,28%,10.79,OK,OK,OK,OK
Margherita Pizza,Entree,14.99,4.2,470.00,July,2025,18,"Gluten,Dairy",Vegetarian,Saturday,Dinner,Positive,No,Local Cheese Shop,4.9,0,28%,10.79,OK,OK,OK,OK
Margherita Pizza,Entree,14.99,4.2,460.00,August,2025,18,"Gluten,Dairy",Vegetarian,Saturday,Dinner,Positive,Yes,Local Cheese Shop,4.8,0,28%,10.79,OK,OK,OK,OK
Margherita Pizza,Entree,14.99,4.2,420.00,September,2025,18,"Gluten,Dairy",Vegetarian,Friday,Dinner,Neutral,No,Local Cheese Shop,4.7,1,28%,10.79,OK,OK,OK,OK
Margherita Pizza,Entree,14.99,4.2,405.00,October,2025,18,"Gluten,Dairy",Vegetarian,Saturday,Dinner,Neutral,No,Local Cheese Shop,4.7,1,28%,10.79,OK,OK,OK,OK
Margherita Pizza,Entree,14.99,4.2,385.00,November,2025,18,"Gluten,Dairy",Vegetarian,Friday,Dinner,Negative,Yes,Local Cheese Shop,4.6,2,28%,10.79,OK,OK,OK,OK
Margherita Pizza,Entree,14.99,4.2,425.00,December,2025,18,"Gluten,Dairy",Vegetarian,Saturday,Dinner,Negative,No,Local Cheese Shop,4.7,1,28%,10.79,OK,OK,OK,OK
Pepperoni Pizza,Entree,16.99,4.8,420.00,January,2025,18,"Gluten,Dairy",None,Saturday,Dinner,Neutral,No,Sysco,4.7,1,28%,12.19,OK,OK,OK,OK
Pepperoni Pizza,Entree,16.99,4.8,400.00,February,2025,18,"Gluten,Dairy",None,Saturday,Dinner,Negative,No,Sysco,4.7,0,28%,12.19,OK,OK,OK,OK
Pepperoni Pizza,Entree,16.99,4.8,435.00,March,2025,18,"Gluten,Dairy",None,Friday,Dinner,Neutral,Yes,Sysco,4.8,1,28%,12.19,OK,OK,OK,OK
Pepperoni Pizza,Entree,16.99,4.8,450.00,April,2025,18,"Gluten,Dairy",None,Saturday,Dinner,Positive,No,Sysco,4.8,0,28%,12.19,OK,OK,OK,OK
Pepperoni Pizza,Entree,16.99,4.8,475.00,May,2025,18,"Gluten,Dairy",None,Saturday,Dinner,Positive,Yes,Sysco,4.9,1,28%,12.19,OK,OK,OK,OK
Pepperoni Pizza,Entree,16.99,4.8,500.00,June,2025,18,"Gluten,Dairy",None,Friday,Dinner,Positive,No,Sysco,4.9,0,28%,12.19,OK,OK,OK,OK
Pepperoni Pizza,Entree,16.99,4.8,520.00,July,2025,18,"Gluten,Dairy",None,Saturday,Dinner,Positive,Yes,Sysco,5,0,28%,12.19,OK,OK,OK,OK
Pepperoni Pizza,Entree,16.99,4.8,510.00,August,2025,18,"Gluten,Dairy",None,Saturday,Dinner,Positive,No,Sysco,4.9,0,28%,12.19,OK,OK,OK,OK
Pepperoni Pizza,Entree,16.99,4.8,465.00,September,2025,18,"Gluten,Dairy",None,Friday,Dinner,Neutral,No,Sysco,4.8,1,28%,12.19,OK,OK,OK,OK
Pepperoni Pizza,Entree,16.99,4.8,445.00,October,2025,18,"Gluten,Dairy",None,Saturday,Dinner,Neutral,Yes,Sysco,4.8,1,28%,12.19,OK,OK,OK,OK
Pepperoni Pizza,Entree,16.99,4.8,415.00,November,2025,18,"Gluten,Dairy",None,Friday,Dinner,Negative,No,Sysco,4.7,2,28%,12.19,OK,OK,OK,OK
Pepperoni Pizza,Entree,16.99,4.8,470.00,December,2025,18,"Gluten,Dairy",None,Saturday,Dinner,Negative,Yes,Sysco,4.8,1,28%,12.19,OK,OK,OK,OK
Chicken Tenders,Entree,11.99,3.2,520.00,January,2025,12,"Gluten,Eggs",None,Friday,Dinner,Neutral,No,Sysco,4.5,2,27%,8.79,OK,OK,OK,OK
Chicken Tenders,Entree,11.99,3.2,495.00,February,2025,12,"Gluten,Eggs",None,Friday,Dinner,Negative,No,Sysco,4.5,1,27%,8.79,OK,OK,OK,OK
Chicken Tenders,Entree,11.99,3.2,540.00,March,2025,12,"Gluten,Eggs",None,Saturday,Dinner,Neutral,Yes,Sysco,4.6,2,27%,8.79,OK,OK,OK,OK
Chicken Tenders,Entree,11.99,3.2,560.00,April,2025,12,"Gluten,Eggs",None,Friday,Dinner,Positive,No,Sysco,4.6,1,27%,8.79,OK,OK,OK,OK
Chicken Tenders,Entree,11.99,3.2,585.00,May,2025,12,"Gluten,Eggs",None,Saturday,Dinner,Positive,Yes,Sysco,4.7,0,27%,8.79,OK,OK,OK,OK
Chicken Tenders,Entree,11.99,3.2,610.00,June,2025,12,"Gluten,Eggs",None,Friday,Dinner,Positive,No,Sysco,4.7,1,27%,8.79,OK,OK,OK,OK
Chicken Tenders,Entree,11.99,3.2,635.00,July,2025,12,"Gluten,Eggs",None,Saturday,Dinner,Positive,Yes,Sysco,4.8,0,27%,8.79,OK,OK,OK,OK
Chicken Tenders,Entree,11.99,3.2,620.00,August,2025,12,"Gluten,Eggs",None,Saturday,Dinner,Positive,No,Sysco,4.7,1,27%,8.79,OK,OK,OK,OK
Chicken Tenders,Entree,11.99,3.2,575.00,September,2025,12,"Gluten,Eggs",None,Friday,Dinner,Neutral,No,Sysco,4.6,1,27%,8.79,OK,OK,OK,OK
Chicken Tenders,Entree,11.99,3.2,555.00,October,2025,12,"Gluten,Eggs",None,Saturday,Dinner,Neutral,Yes,Sysco,4.6,2,27%,8.79,OK,OK,OK,OK
Chicken Tenders,Entree,11.99,3.2,525.00,November,2025,12,"Gluten,Eggs",None,Friday,Dinner,Negative,No,Sysco,4.5,2,27%,8.79,OK,OK,OK,OK
Chicken Tenders,Entree,11.99,3.2,590.00,December,2025,12,"Gluten,Eggs",None,Saturday,Dinner,Negative,Yes,Sysco,4.6,1,27%,8.79,OK,OK,OK,OK
Grilled Salmon,Entree,22.99,8.2,180.00,January,2025,20,Fish,Gluten-Free,Saturday,Dinner,Neutral,No,Ocean Fresh Seafood,4.4,2,36%,14.79,Over 35%,Slow prep,OK,OK
Grilled Salmon,Entree,22.99,8.2,170.00,February,2025,20,Fish,Gluten-Free,Saturday,Dinner,Negative,No,Ocean Fresh Seafood,4.4,1,36%,14.79,Over 35%,Slow prep,OK,OK
Grilled Salmon,Entree,22.99,8.2,190.00,March,2025,20,Fish,Gluten-Free,Friday,Dinner,Neutral,Yes,Ocean Fresh Seafood,4.5,1,36%,14.79,Over 35%,Slow prep,OK,OK
Grilled Salmon,Entree,22.99,8.2,200.00,April,2025,20,Fish,Gluten-Free,Saturday,Dinner,Positive,No,Ocean Fresh Seafood,4.5,2,36%,14.79,Over 35%,Slow prep,OK,OK
Grilled Salmon,Entree,22.99,8.2,210.00,May,2025,20,Fish,Gluten-Free,Saturday,Dinner,Positive,No,Ocean Fresh Seafood,4.6,0,36%,14.79,Over 35%,Slow prep,OK,OK
Grilled Salmon,Entree,22.99,8.2,225.00,June,2025,20,Fish,Gluten-Free,Friday,Dinner,Positive,Yes,Ocean Fresh Seafood,4.6,1,36%,14.79,Over 35%,Slow prep,OK,OK
Grilled Salmon,Entree,22.99,8.2,240.00,July,2025,20,Fish,Gluten-Free,Saturday,Dinner,Positive,No,Ocean Fresh Seafood,4.7,0,36%,14.79,Over 35%,Slow prep,OK,OK
Grilled Salmon,Entree,22.99,8.2,230.00,August,2025,20,Fish,Gluten-Free,Saturday,Dinner,Positive,Yes,Ocean Fresh Seafood,4.6,1,36%,14.79,Over 35%,Slow prep,OK,OK
Grilled Salmon,Entree,22.99,8.2,205.00,September,2025,20,Fish,Gluten-Free,Friday,Dinner,Neutral,No,Ocean Fresh Seafood,4.5,1,36%,14.79,Over 35%,Slow prep,OK,OK
Grilled Salmon,Entree,22.99,8.2,195.00,October,2025,20,Fish,Gluten-Free,Saturday,Dinner,Neutral,No,Ocean Fresh Seafood,4.5,2,36%,14.79,Over 35%,Slow prep,OK,OK
Grilled Salmon,Entree,22.99,8.2,175.00,November,2025,20,Fish,Gluten-Free,Friday,Dinner,Negative,Yes,Ocean Fresh Seafood,4.4,2,36%,14.79,Over 35%,Slow prep,OK,OK
Grilled Salmon,Entree,22.99,8.2,215.00,December,2025,20,Fish,Gluten-Free,Saturday,Dinner,Negative,No,Ocean Fresh Seafood,4.5,1,36%,14.79,Over 35%,Slow prep,OK,OK
New York Strip Steak,Entree,28.99,11.5,95.00,January,2025,25,None,Gluten-Free,Saturday,Dinner,Neutral,No,Premium Meats Inc,4.3,3,40%,17.49,Over 35%,Slow prep,OK,High complaints
New York Strip Steak,Entree,28.99,11.5,88.00,February,2025,25,None,Gluten-Free,Saturday,Dinner,Negative,Yes,Premium Meats Inc,4.3,2,40%,17.49,Over 35%,Slow prep,OK,OK
New York Strip Steak,Entree,28.99,11.5,100.00,March,2025,25,None,Gluten-Free,Saturday,Dinner,Neutral,No,Premium Meats Inc,4.4,2,40%,17.49,Over 35%,Slow prep,OK,OK
New York Strip Steak,Entree,28.99,11.5,105.00,April,2025,25,None,Gluten-Free,Saturday,Dinner,Positive,No,Premium Meats Inc,4.4,1,40%,17.49,Over 35%,Slow prep,OK,OK
New York Strip Steak,Entree,28.99,11.5,110.00,May,2025,25,None,Gluten-Free,Saturday,Dinner,Positive,Yes,Premium Meats Inc,4.5,2,40%,17.49,Over 35%,Slow prep,OK,OK
